New file created: 02.10.2014 12:59:17
Author: Kim Viacheslav

Кнопка "Логин оператора" нажато

02.10.2014 13:04:      кнопка "Скрытая кнопка" была нажата.
02.10.2014 21:05:      кнопка "Добавить сессию" была нажата.
02.10.2014 21:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
02.10.2014 21:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
02.10.2014 21:05:      В форме "Добавить сессию" было загружено клиент с карточкой.
02.10.2014 21:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
02.10.2014 21:05:      Данные 110 в форме "Добавить сессию" были введены данные в поле "Оплачено".
02.10.2014 21:05:      В форме "Добавить сессию" были введены данные в поле Оплачено = 110 сом. Оплаченное время = 01:00:00, на приставку mVIP7, с Карточкой 0
02.10.2014 21:05:      кнопка "Добавить сессию" была нажата.
02.10.2014 21:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
02.10.2014 21:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
02.10.2014 21:05:      В форме "Добавить сессию" было загружено клиент с карточкой.
02.10.2014 21:05:      В форме "Добавить сессию" были загружены дефолтовые значения.
02.10.2014 21:05:      Данные 110 в форме "Добавить сессию" были введены данные в поле "Оплачено".
02.10.2014 21:05:      В форме "Добавить сессию" были введены данные в поле Оплачено = 110 сом. Оплаченное время = 01:00:00, на приставку mVIP8, с Карточкой 0
