New file created: 27.09.2014 0:00:49
Author: Kim Viacheslav

Кнопка "Продлить сессию" была нажата.
27.09.2014 0:00:      В форме "Продлить сессию" были введены данные в поле Оплачено = 50 сом. Оплаченное время = 0:30, на приставку 6, с Карточкой Usual Client
27.09.2014 0:30:      кнопка "Закрыть сессию" была нажата.
27.09.2014 0:30:      В форме "Закрыть" была нажата кнопка "Клиент ушел раньше времени" 
27.09.2014 0:30:      кнопка "Продать товар" была нажата.
27.09.2014 0:30:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Кент 4 в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 0:31:      кнопка "Продать товар" была нажата.
27.09.2014 0:32:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Сникерс бол в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 0:32:      кнопка "Бар" была нажата.
27.09.2014 0:39:      Кнопка последние 10 сессий была нажата!
27.09.2014 0:39:      кнопка "Продать товар" была нажата.
27.09.2014 0:39:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Чипсы Средние в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 0:39:      кнопка "Добавить сессию" была нажата.
27.09.2014 0:40:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:40:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:40:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 0:40:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:40:      Данные 190 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 0:40:      В форме "Добавить сессию" были введены данные в поле Оплачено = 190 сом. Оплаченное время = 01:00:00, на приставку 9, с Карточкой 0
27.09.2014 0:42:      кнопка "Добавить сессию" была нажата.
27.09.2014 0:42:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:42:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:42:      В форме "Добавить сессию" было загружено клиент с карточкой.
27.09.2014 0:42:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:42:      В форме "Добавить сессию" были загружены дефолтовые значения.
27.09.2014 0:42:      Данные 50 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 0:42:      Данные 50 в форме "Добавить сессию" были введены данные в поле "Оплачено".
27.09.2014 0:42:      В форме "Добавить сессию" были введены данные в поле Оплачено = 50 сом. Оплаченное время = 00:30:00, на приставку 6, с Карточкой 0
27.09.2014 1:12:      кнопка "Продать товар" была нажата.
27.09.2014 1:12:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Фьюс 0,5л в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 1:23:      кнопка "Бар" была нажата.
27.09.2014 1:23:      кнопка "Продать товар" была нажата.
27.09.2014 1:23:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Кола 1л в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 8:31:      кнопка "Бар" была нажата.
27.09.2014 8:31:      кнопка "Ревизия" была нажата.
27.09.2014 8:33:      кнопка "Продать товар" была нажата.
27.09.2014 8:33:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Живое 0,5 л в количестве 2шт. был успешно занесен в список проданных товаров!
27.09.2014 8:33:      кнопка "Ревизия" была нажата.
27.09.2014 8:33:      кнопка "Продать товар" была нажата.
27.09.2014 8:33:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Живое 1,5л в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 8:33:      кнопка "Ревизия" была нажата.
27.09.2014 8:53:      кнопка "Затраты" была нажата.
27.09.2014 8:54:      кнопка "Затраты" была нажата.
27.09.2014 8:54:      кнопка "Затраты" была нажата.
27.09.2014 9:51:      кнопка "Ревизия" была нажата.
27.09.2014 9:54:      кнопка "Продать товар" была нажата.
27.09.2014 9:54:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Живое 0,5 л в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 10:01:      кнопка "Скрытая кнопка" была нажата.
27.09.2014 10:03:      кнопка "Продать товар" была нажата.
27.09.2014 10:03:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Живое 0,5 л в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 10:03:      кнопка "Ревизия" была нажата.
27.09.2014 10:06:      кнопка "Продать товар" была нажата.
27.09.2014 10:06:      кнопка "Бар" была нажата.
27.09.2014 10:07:      кнопка "Ревизия" была нажата.
27.09.2014 10:08:      кнопка "Смена" была нажата.
27.09.2014 10:09:      кнопка "Ревизия" была нажата.
27.09.2014 10:11:      кнопка "Продать товар" была нажата.
27.09.2014 10:12:      кнопка "Продать товар" была нажата.
27.09.2014 10:12:      В форме "Продать товар" была нажата кнопка Продать с введеными данными: Товар Хрустим в количестве 1шт. был успешно занесен в список проданных товаров!
27.09.2014 10:12:      кнопка "Затраты" была нажата.
27.09.2014 10:12:      кнопка "Скрытая кнопка" была нажата.
27.09.2014 10:14:      кнопка "Затраты" была нажата.
27.09.2014 10:14:      кнопка "Затраты" была нажата.
27.09.2014 10:37:      кнопка "Скрытая кнопка" была нажата.
27.09.2014 10:41:      кнопка "Смена" была нажата.
27.09.2014 10:43:      К смене 107 было присвоено 623
27.09.2014 10:43:      К смене 108 было присвоено 623
27.09.2014 10:47:      кнопка "Добавить сессию" была нажата.
